AccessionNumber,doi,PubMedID,title,authors,source,citations,publicationDate,fieldCode,researchDesign,individualLevelData,firstContact,dateFirstResponse,responseCode,reasons,requirements,reasonsDetail,responseType,timePeriod
WOS:000336638600010,https://dx.doi.org/10.1176/appi.ajp.2013.13070864,MEDLINE:24577245,Psychiatric Disorders From Childhood To Adulthood In 22Q11.2 Deletion Syndrome: Results From The International Consortium On Brain And Behavior In 22Q11.2 Deletion Syndrome,"SCHNEIDER, M;DEBBANE, M;BASSETT, AS;CHOW, EWC;FUNG, WLA;VAN DEN BREE, MBM;OWEN, M;MURPHY, KC;NIARCHOU, M;KATES, WR;ANTSHEL, KM;FREMONT, W;MCDONALD-MCGINN, DM;GUR, RE;ZACKAI, EH;VORSTMAN, J;DUIJFF, SN;KLAASSEN, PWJ;SWILLEN, A;GOTHELF, D;GREEN, T;WEIZMAN, A;VAN AMELSVOORT, T;EVERS, L;BOOT, E;SHASHI, V;HOOPER, SR;BEARDEN, CE;JALBRZIKOWSKI, M;ARMANDO, M;VICARI, S;MURPHY, DG;OUSLEY, O;CAMPBELL, LE;SIMON, TJ;ELIEZ, S",AMER J PSYCHIAT 171 (6): 627-639 JUN 2014,84,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000345004900004,https://dx.doi.org/10.1017/S1461145714000546,MEDLINE:24787143,"A Randomized, Double-Blind, Placebo-Controlled Study Of Vortioxetine On Cognitive Function In Depressed Adults","MCINTYRE, RS;LOPHAVEN, S;OLSEN, CK",INT J NEUROPSYCHOPHARMACOL 17 (10): 1557-1567 OCT 2014,76,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/12/17,4,D,NA,proprietary,Will not share data,2014-2016
WOS:000331488900005,https://dx.doi.org/10.1192/bjp.bp.113.131052,MEDLINE:24311552,Analysis Of Copy Number Variations At 15 Schizophrenia-Associated Loci,"REES, E;WALTERS, JTR;GEORGIEVA, L;ISLES, AR;CHAMBERT, KD;RICHARDS, AL;MAHONEY-DAVIES, G;LEGGE, SE;MORAN, JL;MCCARROLL, SA;ODONOVAN, MC;OWEN, MJ;KIROV, G",BRIT J PSYCHIAT 204 (2): 108-114 FEB 2014,72,2014,PSYCHIATRY,caseControl,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000335947600008,https://dx.doi.org/10.1001/jamapsychiatry.2014.30,MEDLINE:24590178,Prevalence And Correlates Of Suicidal Behavior Among Soldiers Results From The Army Study To Assess Risk And Resilience In Servicemembers (Army Starrs),"NOCK, MK;STEIN, MB;HEERINGA, SG;URSANO, RJ;COLPE, LJ;FULLERTON, CS;HWANG, I;NAIFEH, JA;SAMPSON, NA;SCHOENBAUM, M;ZASLAVSKY, AM;KESSLER, RC",JAMA PSYCHIATRY 71 (5): 514-522 MAY 2014,69,2014,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,7/11/17,8,NA,B,NA,Extant sharing system (restricted),2014-2016
WOS:000330601100009,https://dx.doi.org/10.1176/appi.ajp.2013.13070984,MEDLINE:24170180,"Lurasidone Monotherapy In The Treatment Of Bipolar I Depression: A Randomized, Double-Blind, Placebo-Controlled Study","LOEBEL, A;CUCCHIARO, J;SILVA, R;KROGER, H;HSU, J;SARMA, K;SACHS, G",AMER J PSYCHIAT 171 (2): 160-168 FEB 2014,68,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000331370400012,https://dx.doi.org/10.1001/jamapsychiatry.2013.3074,MEDLINE:24285382,"National Trends In The Mental Health Care Of Children, Adolescents, And Adults By Office-Based Physicians","OLFSON, M;BLANCO, C;WANG, S;LAJE, G;CORRELL, CU",JAMA PSYCHIATRY 71 (1): 81-90 JAN 2014,67,2014,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,7/12/17,8,NA,B,NA,Extant sharing system (restricted),2014-2016
WOS:000329862500243,https://dx.doi.org/10.1371/journal.pone.0085373,MEDLINE:24416398,Role Of The Dlgap2 Gene Encoding The Sap90/Psd-95-Associated Protein 2 In Schizophrenia,"LI, JM;LU, CL;CHENG, MC;LUU, SU;HSU, SH;HU, TM;TSAI, HY;CHEN, CH",PLOS ONE 9 (1): - JAN 8 2014,66,2014,PSYCHIATRY,caseControl,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000337507500001,https://dx.doi.org/10.1038/tp.2013.111,MEDLINE:24399042,Genome-Wide Dna Methylation Analysis Of Human Brain Tissue From Schizophrenia Patients,"WOCKNER, LF;NOBLE, EP;LAWFORD, BR;YOUNG, RM;MORRIS, CP;WHITEHALL, VLJ;VOISEY, J",TRANSL PSYCHIATR 4: - JAN 2014,61,2014,PSYCHIATRY,caseControl,Y,6/23/17,6/25/17,8,NA,A,NA,Extant sharing system (unrestricted),2014-2016
WOS:000335947600014,https://dx.doi.org/10.1001/jamapsychiatry.2013.4642,MEDLINE:24671165,A Smartphone Application To Support Recovery From Alcoholism A Randomized Clinical Trial,"GUSTAFSON, DH;MCTAVISH, FM;CHIH, MY;ATWOOD, AK;JOHNSON, RA;BOYLE, MG;LEVY, MS;DRISCOLL, H;CHISHOLM, S;DILLENBURG, L;ISHAM, A;SHAH, D",JAMA PSYCHIATRY 71 (5): 566-572 MAY 2014,61,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/12/17,4,B,NA,NA,Will not share data,2014-2016
WOS:000332769700007,https://dx.doi.org/10.1001/jamapsychiatry.2013.3730,MEDLINE:24402055,Methylome-Wide Association Study Of Schizophrenia Identifying Blood Biomarker Signatures Of Environmental Insults,"ABERG, KA;MCCLAY, JL;NERELLA, S;CLARK, S;KUMAR, G;CHEN, WA;KHACHANE, AN;XIE, LY;HUDSON, A;GAO, GM;HARADA, A;HULTMAN, CM;SULLIVAN, PF;MAGNUSSON, PKE;VAN DEN OORD, EJCG",JAMA PSYCHIATRY 71 (3): 255-264 MAR 2014,61,2014,PSYCHIATRY,caseControl,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000330601100010,https://dx.doi.org/10.1176/appi.ajp.2013.13070985,MEDLINE:24170221,"Lurasidone As Adjunctive Therapy With Lithium Or Valproate For The Treatment Of Bipolar I Depression: A Randomized, Double-Blind, Placebo-Controlled Study","LOEBEL, A;CUCCHIARO, J;SILVA, R;KROGER, H;SARMA, K;XU, J;CALABRESE, JR",AMER J PSYCHIAT 171 (2): 169-177 FEB 2014,60,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,6/23/17,4,D,NA,proprietary,Will not share data,2014-2016
WOS:000339988900013,https://dx.doi.org/10.1176/appi.ajp.2014.13121571,MEDLINE:24832930,Influences Of Maternal And Paternal Ptsd On Epigenetic Regulation Of The Glucocorticoid Receptor Gene In Holocaust Survivor Offspring,"YEHUDA, R;DASKALAKIS, NP;LEHRNER, A;DESARNAUD, F;BADER, HN;MAKOTKINE, I;FLORY, JD;BIERER, LM;MEANEY, MJ",AMER J PSYCHIAT 171 (8): 872-880 AUG 2014,60,2014,PSYCHIATRY,caseControl,Y,6/23/17,7/12/17,4,B,NA,NA,Will not share data,2014-2016
WOS:000335947600006,https://dx.doi.org/10.1001/jamapsychiatry.2013.4417,MEDLINE:24590048,Predictors Of Suicide And Accident Death In The Army Study To Assess Risk And Resilience In Servicemembers (Army Starrs) Results From The Army Study To Assess Risk And Resilience In Servicemembers (Army Starrs),"SCHOENBAUM, M;KESSLER, RC;GILMAN, SE;COLPE, LJ;HEERINGA, SG;STEIN, MB;URSANO, RJ;COX, KL",JAMA PSYCHIATRY 71 (5): 493-503 MAY 2014,59,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,6/23/17,4,D,NA,proprietary,Will not share data,2014-2016
WOS:000332419600023,https://dx.doi.org/10.1093/schbul/sbt037,MEDLINE:23519021,Aberrant Dependence Of Default Mode/Central Executive Network Interactions On Anterior Insular Salience Network Activity In Schizophrenia,"MANOLIU, A;RIEDL, V;ZHERDIN, A;MUHLAU, M;SCHWERTHOFFER, D;SCHERR, M;PETERS, H;ZIMMER, C;FORSTL, H;BAUML, J;WOHLSCHLAGER, AM;SORG, C",SCHIZOPHRENIA BULL 40 (2): 428-437 MAR 2014,58,2014,PSYCHIATRY,caseControl,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000335926500014,https://dx.doi.org/10.1001/jamapsychiatry.2013.4525,MEDLINE:24577047,Paternal Age At Childbearing And Offspring Psychiatric And Academic Morbidity,"DONOFRIO, BM;RICKERT, ME;FRANS, E;KUJA-HALKOLA, R;ALMQVIST, C;SJOLANDER, A;LARSSON, H;LICHTENSTEIN, P",JAMA PSYCHIATRY 71 (4): 432-438 APR 2014,57,2014,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,7/14/17,4,A,NA,prohibited by law,Will not share data,2014-2016
WOS:000332769700006,https://dx.doi.org/10.1001/jamapsychiatry.2013.3726,MEDLINE:24382686,Comorbidity Of Severe Psychotic Disorders With Measures Of Substance Use,"HARTZ, SM;PATO, CN;MEDEIROS, H;CAVAZOS-REHG, P;SOBELL, JL;KNOWLES, JA;BIERUT, LJ;PATO, MT",JAMA PSYCHIATRY 71 (3): 248-254 MAR 2014,57,2014,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,7/14/17,4,D,NA,proprietary,Will not share data,2014-2016
WOS:000345917900007,https://dx.doi.org/10.1001/jamapsychiatry.2014.1314,MEDLINE:25321337,Cardiometabolic Risk In Patients With First-Episode Schizophrenia Spectrum Disorders Baseline Results From The Raise-Etp Study,"CORRELL, CU;ROBINSON, DG;SCHOOLER, NR;BRUNETTE, MF;MUESER, KT;ROSENHECK, RA;MARCY, P;ADDINGTON, J;ESTROFF, SE;ROBINSON, J;PENN, DL;AZRIN, S;GOLDSTEIN, A;SEVERE, J;HEINSSEN, R;KANE, JM",JAMA PSYCHIATRY 71 (12): 1350-1363 DEC 2014,56,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,7/14/17,8,NA,B,NA,Extant sharing system (restricted),2014-2016
WOS:000335947600015,https://dx.doi.org/10.1001/jamapsychiatry.2014.16,MEDLINE:24806211,A Comprehensive Nationwide Study Of The Incidence Rate And Lifetime Risk For Treated Mental Disorders,"PEDERSEN, CB;MORS, O;BERTELSEN, A;WALTOFT, BL;AGERBO, E;MCGRATH, JJ;MORTENSEN, PB;EATON, WW",JAMA PSYCHIATRY 71 (5): 573-581 MAY 2014,55,2014,PSYCHIATRY,epidemiologicalSurvey,Y,6/23/17,7/7/17,8,NA,C H,NA,Extant sharing system (restricted),2014-2016
WOS:000343703800031,https://doi.org/10.1016/S2215-0366(14)70307-4,MEDLINE:26360862,Young Adult Sequelae Of Adolescent Cannabis Use: An Integrative Analysis,"SILINS, E;HORWOOD, LJ;PATTON, GC;FERGUSSON, DM;OLSSON, CA;HUTCHINSON, DM;SPRY, E;TOUMBOUROU, JW;DEGENHARDT, L;SWIFT, W;COFFEY, C;TAIT, RJ;LETCHER, P;COPELAND, J;MATTICK, RP",LANCET PSYCHIATRY 1 (4): 286-293 SEP 2014,54,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,7/12/17,6,NA,NA,NA,Non-response,2014-2016
WOS:000336915600008,https://dx.doi.org/10.1001/jamapsychiatry.2014.163,MEDLINE:24696094,"Effect Of Bitopertin, A Glycine Reuptake Inhibitor, On Negative Symptoms Of Schizophrenia A Randomized, Double-Blind, Proof-Of-Concept Study","UMBRICHT, D;ALBERATI, D;MARTIN-FACKLAM, M;BORRONI, E;YOUSSEF, EA;OSTLAND, M;WALLACE, TL;KNOFLACH, F;DORFLINGER, E;WETTSTEIN, JG;BAUSCH, A;GARIBALDI, G;SANTARELLI, L",JAMA PSYCHIATRY 71 (6): 637-646 JUN 2014,54,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/25/17,6,NA,NA,NA,Non-response,2014-2016
WOS:000342900200006,https://dx.doi.org/10.1001/jamapsychiatry.2014.1332,MEDLINE:25133871,Association Of Serum Interleukin 6 And C-Reactive Protein In Childhood With Depression And Psychosis In Young Adult Life A Population-Based Longitudinal Study,"KHANDAKER, GM;PEARSON, RM;ZAMMIT, S;LEWIS, G;JONES, PB",JAMA PSYCHIATRY 71 (10): 1121-1128 OCT 2014,53,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,7/14/17,4,A,NA,prohibited by law,Will not share data,2014-2016
WOS:000329350700043,https://dx.doi.org/10.1073/pnas.1312114110,MEDLINE:24324144,Critical Slowing Down As Early Warning For The Onset And Termination Of Depression,"VAN DE LEEMPUT, IA;WICHERS, M;CRAMER, AOJ;BORSBOOM, D;TUERLINCKX, F;KUPPENS, P;VAN NES, EH;VIECHTBAUER, W;GILTAY, EJ;AGGEN, SH;DEROM, C;JACOBS, N;KENDLER, KS;VAN DER MAAS, HLJ;NEALE, MC;PEETERS, F;THIERY, E;ZACHAR, P;SCHEFFER, M",PROC NAT ACAD SCI USA 111 (1): 87-92 JAN 7 2014,53,2014,PSYCHIATRY,caseControl,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000335926500013,https://dx.doi.org/10.1001/jamapsychiatry.2013.4374,MEDLINE:24576974,Assessment Of Plasma C-Reactive Protein As A Biomarker Of Posttraumatic Stress Disorder Risk,"ERALY, SA;NIEVERGELT, CM;MAIHOFER, AX;BARKAUSKAS, DA;BISWAS, N;AGORASTOS, A;OCONNOR, DT;BAKER, DG",JAMA PSYCHIATRY 71 (4): 423-431 APR 2014,52,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,7/28/17,4,F,NA,NA,Will not share data,2014-2016
WOS:000335947600012,https://dx.doi.org/10.1001/jamapsychiatry.2013.4546,MEDLINE:24647726,"Relative Efficacy Of Mindfulness-Based Relapse Prevention, Standard Relapse Prevention, And Treatment As Usual For Substance Use Disorders","BOWEN, S;WITKIEWITZ, K;CLIFASEFI, SL;GROW, J;CHAWLA, N;HSU, SH;CARROLL, HA;HARROP, E;COLLINS, SE;LUSTYK, MK;LARIMER, ME",JAMA PSYCHIATRY 71 (5): 547-556 MAY 2014,52,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000333501000012,https://dx.doi.org/10.1176/appi.ajp.2013.13081014,MEDLINE:24525690,Topiramate Treatment For Heavy Drinkers: Moderation By A Grik1 Polymorphism,"KRANZLER, HR;COVAULT, J;FEINN, R;ARMELI, S;TENNEN, H;ARIAS, AJ;GELERNTER, J;POND, T;ONCKEN, C;KAMPMAN, KM",AMER J PSYCHIAT 171 (4): 445-452 APR 2014,52,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,6/26/17,4,C,NA,NA,Will not share data,2014-2016
WOS:000331370600002,https://dx.doi.org/10.1001/jamapsychiatry.2013.3469,MEDLINE:24306091,Disruption Of Cortical Association Networks In Schizophrenia And Psychotic Bipolar Disorder,"BAKER, JT;HOLMES, AJ;MASTERS, GA;YEO, BTT;KRIENEN, F;BUCKNER, RL;ONGUR, D",JAMA PSYCHIATRY 71 (2): 109-118 FEB 2014,52,2014,PSYCHIATRY,caseControl,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000335926500010,https://dx.doi.org/10.1001/jamapsychiatry.2013.3320,MEDLINE:24554232,Preventive Effects Of Ramelteon On Delirium A Randomized Placebo-Controlled Trial,"HATTA, K;KISHI, Y;WADA, K;TAKEUCHI, T;ODAWARA, T;USUI, C;NAKAMURA, H",JAMA PSYCHIATRY 71 (4): 397-403 APR 2014,52,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/1/17,3,NA,NA,NA,Sharing with METRICS only,2014-2016
WOS:000336638600011,https://dx.doi.org/10.1176/appi.ajp.2014.13121625,MEDLINE:24743802,"A Randomized, Double-Blind Evaluation Of D-Cycloserine Or Alprazolam Combined With Virtual Reality Exposure Therapy For Posttraumatic Stress Disorder In Iraq And Afghanistan War Veterans","ROTHBAUM, BO;PRICE, M;JOVANOVIC, T;NORRHOLM, SD;GERARDI, M;DUNLOP, B;DAVIS, M;BRADLEY, B;DUNCAN, EJ;RIZZO, A;RESSLER, KJ",AMER J PSYCHIAT 171 (6): 640-648 JUN 2014,51,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/11/17,4,F,NA,NA,Will not share data,2014-2016
WOS:000336807600003,https://dx.doi.org/10.1097/01.pra.0000442935.15833.c5,MEDLINE:24419307,"Normalizing Effects Of Evp-6124, An Alpha-7 Nicotinic Partial Agonist, On Event-Related Potentials And Cognition: A Proof Of Concept, Randomized Trial In Patients With Schizophrenia","PRESKORN, SH;GAWRYL, M;DGETLUCK, N;PALFREYMAN, M;BAUER, LO;HILT, DC",J PSYCHIATR PRACT 20 (1): 12-23 JAN 2014,51,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,6/24/17,4,D,NA,proprietary,Will not share data,2014-2016
WOS:000334174900008,https://dx.doi.org/10.1002/da.22253,MEDLINE:24668760,Effects Of Ketamine On Explicit And Implicit Suicidal Cognition: A Randomized Controlled Trial In Treatment-Resistant Depression,"PRICE, RB;IOSIFESCU, DV;MURROUGH, JW;CHANG, LC;AL JURDI, RK;IQBAL, SZ;SOLEIMANI, L;CHARNEY, DS;FOULKES, AL;MATHEW, SJ",DEPRESS ANXIETY 31 (4): 335-343 APR 2014,51,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/13/17,1,NA,NA,NA,Data Ark (unrestricted),2014-2016
WOS:000338929400001,https://dx.doi.org/10.1097/NMD.0000000000000113,MEDLINE:24594678,Safety And Efficacy Of Lysergic Acid Diethylamide-Assisted Psychotherapy For Anxiety Associated With Life-Threatening Diseases,"GASSER, P;HOLSTEIN, D;MICHEL, Y;DOBLIN, R;YAZAR-KLOSINSKI, B;PASSIE, T;BRENNEISEN, R",J NERV MENT DIS 202 (7): 513-520 JUL 2014,49,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,6/26/17,4,D,NA,proprietary,Will not share data,2014-2016
WOS:000344611900009,https://dx.doi.org/10.1093/schbul/sbu033,MEDLINE:24609454,"Feasibility, Acceptability, And Preliminary Efficacy Of A Smartphone Intervention For Schizophrenia","BEN-ZEEV, D;BRENNER, CJ;BEGALE, M;DUFFECY, J;MOHR, DC;MUESER, KT",SCHIZOPHRENIA BULL 40 (6): 1244-1253 NOV 2014,48,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000344611900035,https://dx.doi.org/10.1093/schbul/sbt181,MEDLINE:24345517,"Daily Use, Especially Of High-Potency Cannabis, Drives The Earlier Onset Of Psychosis In Cannabis Users","DI FORTI, M;SALLIS, H;ALLEGRI, F;TROTTA, A;FERRARO, L;STILO, SA;MARCONI, A;LA CASCIA, C;MARQUES, TR;PARIANTE, C;DAZZAN, P;MONDELLI, V;PAPARELLI, A;KOLLIAKOU, A;PRATA, D;GAUGHRAN, F;DAVID, AS;MORGAN, C;STAHL, D;KHONDOKER, M;MACCABE, JH;MURRAY, RM",SCHIZOPHRENIA BULL 40 (6): 1509-1517 NOV 2014,48,2014,PSYCHIATRY,caseControl,Y,6/23/17,7/12/17,4,A,NA,no ethical approval for sharing,Will not share data,2014-2016
WOS:000341775300005,https://dx.doi.org/10.1001/jamapsychiatry.2014.817,MEDLINE:24989152,Multicenter Pilot Treatment Trial For Psychogenic Nonepileptic Seizures A Randomized Clinical Trial,"LAFRANCE, WC;BAIRD, GL;BARRY, JJ;BLUM, AS;WEBB, AF;KEITNER, GI;MACHAN, JT;MILLER, I;SZAFLARSKI, JP",JAMA PSYCHIATRY 71 (9): 997-1005 SEP 2014,47,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,7/7/17,7,NA,NA,NA,Non-response,2014-2016
WOS:000333501000010,https://dx.doi.org/10.1176/appi.ajp.2013.13101375,MEDLINE:24525762,Sex Differences In The Pathways To Major Depression: A Study Of Opposite-Sex Twin Pairs,"KENDLER, KS;GARDNER, CO",AMER J PSYCHIAT 171 (4): 426-435 APR 2014,47,2014,PSYCHIATRY,caseControl,Y,6/23/17,6/23/17,4,B,NA,NA,Will not share data,2014-2016
WOS:000329478800016,https://dx.doi.org/,MEDLINE:24030246,Neuropsychological Decline In Schizophrenia From The Premorbid To The Postonset Period: Evidence From A Population-Representative Longitudinal Study,"MEIER, MH;CASPI, A;REICHENBERG, A;KEEFE, RSE;FISHER, HL;HARRINGTON, N;HOUTS, R;POULTON, R;MOFFITT, TE",AMER J PSYCHIAT 171 (1): 91-101 JAN 2014,47,2014,PSYCHIATRY,fieldStudy,Y,6/23/17,6/24/17,8,NA,B D E F,NA,Extant sharing system (restricted),2014-2016
WOS:000336915600013,https://dx.doi.org/10.1001/jamapsychiatry.2014.62,MEDLINE:24740528,Efficacy Of Intravenous Ketamine For Treatment Of Chronic Posttraumatic Stress Disorder A Randomized Clinical Trial,"FEDER, A;PARIDES, MK;MURROUGH, JW;PEREZ, AM;MORGAN, JE;SAXENA, S;KIRKWOOD, K;AAN HET ROT, M;LAPIDUS, KAB;WAN, LB;IOSIFESCU, D;CHARNEY, DS",JAMA PSYCHIATRY 71 (6): 681-688 JUN 2014,45,2014,PSYCHIATRY,randomizedClinicalTrial,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000336836900002,https://dx.doi.org/10.1027/1864-9335/a000178,NA,Investigating Variation In Replicability A Many Labs Replication Project,"KLEIN, RA;RATLIFF, KA;VIANELLO, M;ADAMS, RB;BAHNIK, S;BERNSTEIN, MJ;BOCIAN, K;BRANDT, MJ;BROOKS, B;BRUMBAUGH, CC;CEMALCILAR, Z;CHANDLER, J;CHEONG, W;DAVIS, WE;DEVOS, T;EISNER, M;FRANKOWSKA, N;FURROW, D;GALLIANI, EM;HASSELMAN, F;HICKS, JA;HOVERMALE, JF;HUNT, SJ;HUNTSINGER, JR;IJZERMAN, H;JOHN, MS;JOY-GABA, JA;KAPPES, HB;KRUEGER, LE;KURTZ, J;LEVITAN, CA;MALLETT, RK;MORRIS, WL;NELSON, AJ;NIER, JA;PACKARD, G;PILATI, R;RUTCHICK, AM;SCHMIDT, K;SKORINKO, JL;SMITH, R;STEINER, TG;STORBECK, J;VAN SWOL, LM;THOMPSON, D;VAN T VEER, AE;VAUGHN, LA;VRANKA, M;WICHMAN, AL;WOODZICKA, JA;NOSEK, BA",SOC PSYCHOL 45 (3): 142-152 2014,95,2014,PSYCHOLOGY,laboratoryExperiment,Y,6/23/17,6/23/17,8,NA,A,NA,Extant sharing system (unrestricted),2014-2016
WOS:000340226100009,https://dx.doi.org/10.3758/s13428-013-0365-7,MEDLINE:23835650,Nonnaivete Among Amazon Mechanical Turk Workers: Consequences And Solutions For Behavioral Researchers,"CHANDLER, J;MUELLER, P;PAOLACCI, G",BEHAV RES METHODS 46 (1): 112-130 MAR 2014,85,2014,PSYCHOLOGY,fieldStudy,Y,6/23/17,7/12/17,1,NA,NA,NA,Data Ark (unrestricted),2014-2016
WOS:000329479400021,https://dx.doi.org/10.1016/j.addbeh.2013.10.028,MEDLINE:24229843,A Longitudinal Study Of Electronic Cigarette Users,"ETTER, JF;BULLEN, C",ADDICT BEHAV 39 (2): 491-494 SP. ISS. SI FEB 2014,76,2014,PSYCHOLOGY,fieldStudy,Y,6/23/17,6/28/17,1,NA,NA,NA,Data Ark (unrestricted),2014-2016
WOS:000334076300009,https://dx.doi.org/10.3758/s13421-013-0364-z,MEDLINE:24081919,The Role Of Individual Differences In Cognitive Training And Transfer,"JAEGGI, SM;BUSCHKUEHL, M;SHAH, P;JONIDES, J",MEM COGNITION 42 (3): 464-480 APR 2014,68,2014,PSYCHOLOGY,laboratoryExperiment,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000332059900003,https://dx.doi.org/10.1177/1073191113514105,MEDLINE:24322012,Introducing The Short Dark Triad ( Sd3): A Brief Measure Of Dark Personality Traits,"JONES, DN;PAULHUS, DL",ASSESSMENT 21 (1): 28-41 FEB 2014,64,2014,PSYCHOLOGY,instrumentDevelopment,Y,6/23/17,NA,0,NA,NA,NA,Non-response,2014-2016
WOS:000335537400036,https://dx.doi.org/10.1126/science.1246850,MEDLINE:24812395,Large-Scale Psychological Differences Within China Explained By Rice Versus Wheat Agriculture,"TALHELM, T;ZHANG, X;OISHI, S;SHIMIN, C;DUAN, D;LAN, X;KITAYAMA, S",SCIENCE 344 (6184): 603-608 MAY 9 2014,62,2014,PSYCHOLOGY,epidemiologicalSurvey,Y,6/23/17,6/25/17,7,NA,NA,NA,Non-response,2014-2016
WOS:000336108500001,https://dx.doi.org/10.1016/j.cogpsych.2014.01.003,MEDLINE:24531497,"Working Memory And Fluid Intelligence: Capacity, Attention Control, And Secondary Memory Retrieval","UNSWORTH, N;FUKUDA, K;AWH, E;VOGEL, EK",COG PSYCHOL 71: 1-26 JUN 2014,60,2014,PSYCHOLOGY,laboratoryExperiment,Y,6/23/17,6/26/17,4,C,NA,NA,Will not share data,2014-2016
WOS:000333463400009,https://dx.doi.org/10.1037/a0035036,MEDLINE:24294837,Mindfulness-Based Cognitive Therapy For Preventing Relapse In Recurrent Depression: A Randomized Dismantling Trial,"WILLIAMS, JMG;CRANE, C;BARNHOFER, T;BRENNAN, K;DUGGAN, DS;FENNELL, MJV;HACKMANN, A;KRUSCHE, A;MUSE, K;VON ROHR, IR;SHAH, D;CRANE, RS;EAMES, C;JONES, M;RADFORD, S;SILVERTON, S;SUN, YZ;WEATHERLEY-JONES, E;WHITAKER, CJ;RUSSELL, D;RUSSELL, IT",J CONSULT CLIN PSYCHOL 82 (2): 275-286 APR 2014,58,2014,PSYCHOLOGY,randomizedClinicalTrial,Y,6/23/17,6/28/17,4,A,NA,data sharing not on consent form,Will not share data,2014-2016
WOS:000336185700004,https://dx.doi.org/10.1016/j.jecp.2014.01.013,MEDLINE:24699178,Relations Of Different Types Of Numerical Magnitude Representations To Each Other And To Mathematics Achievement,"FAZIO, LK;BAILEY, DH;THOMPSON, CA;SIEGLER, RS",J EXP CHILD PSYCHOL 123: 53-72 JUL 2014,57,2014,PSYCHOLOGY,fieldStudy,Y,6/23/17,7/15/17,1,NA,NA,NA,Data Ark (unrestricted),2014-2016
WOS:000340226300022,https://dx.doi.org/10.3758/s13428-013-0403-5,MEDLINE:24142837,Concreteness Ratings For 40 Thousand Generally Known English Word Lemmas,"BRYSBAERT, M;WARRINER, AB;KUPERMAN, V",BEHAV RES METHODS 46 (3): 904-911 SEP 2014,54,2014,PSYCHOLOGY,instrumentDevelopment,Y,6/23/17,6/25/17,1,NA,NA,NA,Data Ark (unrestricted),2014-2016
WOS:000347099100011,https://dx.doi.org/10.3758/s13428-013-0434-y,MEDLINE:24356996,Reputation As A Sufficient Condition For Data Quality On Amazon Mechanical Turk,"PEER, E;VOSGERAU, J;ACQUISTI, A",BEHAV RES METHODS 46 (4): 1023-1031 DEC 2014,51,2014,PSYCHOLOGY,laboratoryExperiment,Y,6/23/17,6/24/17,5,NA,NA,NA,Non-response,2014-2016
WOS:000329560300049,https://dx.doi.org/10.1016/j.addbeh.2013.09.014,MEDLINE:24094920,Trends In Use Of Electronic Nicotine Delivery Systems By Adolescents,"CAMENGA, DR;DELMERICO, J;KONG, G;CAVALLO, D;HYLAND, A;CUMMINGS, KM;KRISHNAN-SARIN, S",ADDICT BEHAV 39 (1): 338-340 JAN 2014,50,2014,PSYCHOLOGY,fieldStudy,Y,6/23/17,7/25/17,6,NA,NA,NA,Non-response,2014-2016
